taxon_key_gbif_id,superfamily_name,family_name,subfamily_name,genus_name,name,search_species_name,gbif_species_name,confidence,status,match type,source,iNaturalist count
5122978,Tineoidea,Tineidae,Tineinae,Tinea,irrepta,Tinea irrepta,Tinea irrepta,99,ACCEPTED,EXACT,Quebec_Pohl2018,2
1858163,Tineoidea,Tineidae,Tineinae,Tinea,pellionella,Tinea pellionella,Tinea pellionella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,43
1858073,Tineoidea,Tineidae,Tineinae,Tinea,svenssoni,Tinea svenssoni,Tinea svenssoni,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
1856005,Tineoidea,Tineidae,Tineinae,Niditinea,fuscella,Niditinea fuscella,Niditinea fuscella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,4
1856002,Tineoidea,Tineidae,Tineinae,Niditinea,orleansella,Niditinea orleansella,Niditinea orleansella,99,ACCEPTED,EXACT,Quebec_Pohl2018,3
1857577,Tineoidea,Tineidae,Tineinae,Trichophaga,tapetzella,Trichophaga tapetzella,Trichophaga tapetzella,99,ACCEPTED,EXACT,Quebec_Pohl2018,7
1857829,Tineoidea,Tineidae,Tineinae,Monopis,crocicapitella,Monopis crocicapitella,Monopis crocicapitella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,162
1857863,Tineoidea,Tineidae,Tineinae,Monopis,laevigella,Monopis laevigella,Monopis laevigella,99,ACCEPTED,EXACT,Quebec_Pohl2018,8
1857918,Tineoidea,Tineidae,Tineinae,Monopis,dorsistrigella,Monopis dorsistrigella,Monopis dorsistrigella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,60
1857945,Tineoidea,Tineidae,Tineinae,Monopis,marginistrigella,Monopis marginistrigella,Monopis marginistrigella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,7
1857828,Tineoidea,Tineidae,Tineinae,Monopis,monachella,Monopis monachella,Monopis monachella,99,ACCEPTED,EXACT,Quebec_Pohl2018,89
