,Species Key,Taxon Key,GBIF Species Name,Source
1230,NA,NA,NA,Quebec_Pohl2018
1231,5103904,5103904,Eucosma verna,Quebec_Pohl2018
1232,10301743,10301743,Eucosma autumnana,Quebec_Pohl2018
1233,NA,NA,NA,Quebec_Pohl2018
1234,NA,NA,NA,Quebec_Pohl2018
1235,9964568,9964568,Eucosma umbrastriana,Quebec_Pohl2018
1236,NA,NA,NA,Quebec_Pohl2018
1237,NA,NA,NA,Quebec_Pohl2018
1238,NA,NA,NA,Quebec_Pohl2018
1239,NA,NA,NA,Quebec_Pohl2018
1240,10057518,10057518,Eucosma kiscana,Quebec_Pohl2018
1241,10114991,10172718,Eucosma kokana,Quebec_Pohl2018
1242,10301598,10301598,Eucosma striatana,Quebec_Pohl2018
1243,NA,NA,NA,Quebec_Pohl2018
1244,10546662,10546662,Eucosma tarandana,Quebec_Pohl2018
1245,NA,NA,NA,Quebec_Pohl2018
1246,NA,NA,NA,Quebec_Pohl2018
1247,9885192,9885192,Eucosma parmatana,Quebec_Pohl2018
1248,9849625,9849625,Eucosma ochroterminana,Quebec_Pohl2018
1249,10194727,10194727,Eucosma tomonana,Quebec_Pohl2018
1250,10000103,10000103,Eucosma raracana,Quebec_Pohl2018
1251,10044107,10044107,Eucosma ochrocephala,Quebec_Pohl2018
1252,10395101,10395101,Eucosma olivaceana,Quebec_Pohl2018
1253,10648834,10008442,Eucosma tenuiana,Quebec_Pohl2018
1254,10860946,10544201,Eucosma southamptonensis,Quebec_Pohl2018
1255,10137001,10137001,Eucosma ornatula,Quebec_Pohl2018
1256,NA,NA,NA,Quebec_Pohl2018
1257,10014674,10014674,Pelochrista agricolana,Quebec_Pohl2018
1258,NA,NA,NA,Quebec_Pohl2018
1259,NA,NA,NA,Quebec_Pohl2018
1260,10287085,10287085,Pelochrista comatulana,Quebec_Pohl2018
1261,NA,NA,NA,Quebec_Pohl2018
1262,10165244,10165244,Pelochrista wandana,Quebec_Pohl2018
1263,NA,NA,NA,Quebec_Pohl2018
1264,1747586,1747586,Pelochrista zomonana,Quebec_Pohl2018
1265,NA,NA,NA,Quebec_Pohl2018
1266,1747523,1747523,Pelochrista scintillana,Quebec_Pohl2018
1267,10776919,10776919,Pelochrista matutina,Quebec_Pohl2018
1268,NA,NA,NA,Quebec_Pohl2018
1269,10481441,10481441,Pelochrista derelicta,Quebec_Pohl2018
1270,10547716,10547716,Pelochrista cataclystiana,Quebec_Pohl2018
1271,10380465,10380465,Pelochrista dorsisignatana,Quebec_Pohl2018
1272,10445629,10445629,Pelochrista similiana,Quebec_Pohl2018
1273,NA,NA,NA,Quebec_Pohl2018
1274,NA,NA,NA,Quebec_Pohl2018
1275,NA,NA,NA,Quebec_Pohl2018
1276,9894912,9894912,Eucopina gloriola,Quebec_Pohl2018
1277,NA,NA,NA,Quebec_Pohl2018
1278,10545267,10545267,Eucopina tocullionana,Quebec_Pohl2018
1279,9971153,9971153,Epiblema boxcana,Quebec_Pohl2018
1280,10073044,10073044,Epiblema strenuana,Quebec_Pohl2018
1281,10446580,10446580,Epiblema tripartitana,Quebec_Pohl2018
1282,10423781,10423781,Epiblema benignatum,Quebec_Pohl2018
1283,5104063,5104063,Epiblema scudderiana,Quebec_Pohl2018
1284,NA,NA,NA,Quebec_Pohl2018
