speciesKey,species,genus,family
4702810,Eupithecia semilugens,Eupithecia,Geometridae
1962321,Lissochlora calida,Lissochlora,Geometridae
1975618,Isochromodes divergentata,Isochromodes,Geometridae
1826054,Dasylophia improvisa,Dasylophia,Notodontidae
1965265,Euphyia carneoviridis,Euphyia,Geometridae
1973273,Glaucina ouden,Glaucina,Geometridae
1847356,Dichomeris fistuca,Dichomeris,Gelechiidae
1807887,Metalobosia ducalis,Metalobosia,Erebidae
1817107,Leucotmemis pardalimacula,Leucotmemis,Erebidae
1960296,Opisthoxia bellaoides,Opisthoxia,Geometridae
1852925,Batrachedra garritor,Batrachedra,Batrachedridae
1989142,Cidariophanes edaxaria,Cidariophanes,Geometridae
1989832,Eois dissensa,Eois,Geometridae
1982581,Eupithecia semirufescens,Eupithecia,Geometridae
1835397,Schiffermuelleria taboga,Schiffermuelleria,Oecophoridae
1826087,Dasylophia ineminensis,Dasylophia,Notodontidae
8472645,Glyphidocera positurae,Glyphidocera,Autostichidae
8724753,Chionodes hostis,Chionodes,Gelechiidae
1838136,Gonionota excavata,Gonionota,Depressariidae
5146259,Heterusia brumalis,Heterusia,Geometridae
1959801,Hypometalla scintillans,Hypometalla,Geometridae
1919439,Delias jordani,Delias,Pieridae
1979171,Stenalcidia invenusta,Stenalcidia,Geometridae
1969539,Leuculopsis intermedia,Leuculopsis,Geometridae
1737050,Acanthoclita balia,Acanthoclita,Tortricidae
1737238,Clarkeulia bourquini,Clarkeulia,Tortricidae
1834420,Timocratica agramma,Timocratica,Depressariidae
1983650,Eupithecia rufa,Eupithecia,Geometridae
1979365,Hydriomena cruziata,Hydriomena,Geometridae
9118707,Asymphorodes aporia,Asymphorodes,Cosmopterigidae
5103257,Epibactra usuiana,Epibactra,Tortricidae
1956120,Semaeopus fusilinea,Semaeopus,Geometridae
1751985,Perola producta,Perola,Limacodidae
1841235,Doina lagneia,Doina,Depressariidae
1979425,Hydriomena ulfrida,Hydriomena,Geometridae
5143684,Cabera graciosa,Cabera,Geometridae
5138015,Mylothris kiwuensis,Mylothris,Pieridae
1845637,Ethmia punctessa,Ethmia,Ethmiidae
5122183,Eudactylota barberella,Eudactylota,Gelechiidae
1745817,Epinotia fujisawai,Epinotia,Tortricidae
5148768,Pero barbarata,Pero,Geometridae
1975499,Rhopalodes rosula,Rhopalodes,Geometridae
1979389,Hydriomena bonitusa,Hydriomena,Geometridae
1859924,Postplatyptilia biobioica,Postplatyptilia,Pterophoridae
1989849,Eois nacara,Eois,Geometridae
1948568,Phlebodes gulala,Phlebodes,Hesperiidae
1964987,Callipia vicinaria,Callipia,Geometridae
1784995,Anomis esocampta,Anomis,Erebidae
9147533,Araucarivora gentilii,Araucarivora,Elachistidae
1961713,Eutomopepla brunnea,Eutomopepla,Geometridae
11522668,Herpystostena sicaria,Herpystostena,Tortricidae
1976747,Oxydia fulvicolor,Oxydia,Geometridae
1852888,Eubolepia anomalella,Eubolepia,Blastobasidae
1888869,Thaumatopsis gibsonella,Thaumatopsis,Crambidae
5145594,Scopula leuculata,Scopula,Geometridae
1812878,Phaio caeruleonigra,Phaio,Erebidae
1848936,Prolita dialis,Prolita,Gelechiidae
5115355,Automolis taymansi,Automolis,Erebidae
5142226,Sabina sabina,Sabina,Hesperiidae
1989784,Eois operbula,Eois,Geometridae
1978239,Carpella semigrisea,Carpella,Geometridae
1841380,Chlamydastis nestes,Chlamydastis,Depressariidae
1737737,Cydia pseudomalesana,Cydia,Tortricidae
1973670,Oospila confundaria,Oospila,Geometridae
1920519,Phulia nannophyes,Phulia,Pieridae
1986365,Xanthorhoe columella,Xanthorhoe,Geometridae
5127419,Stenia pacificalis,Stenia,Crambidae
1953984,Nyctibadistes nigrata,Nyctibadistes,Uraniidae
1836820,Stenoma affirmatella,Stenoma,Depressariidae
1989796,Eois acerba,Eois,Geometridae
11918550,Hypomecis multipunctata,Hypomecis,Geometridae
5148763,Pero lindigi,Pero,Geometridae
1826296,Dicentria clarita,Dicentria,Notodontidae
1735096,Carposina paracrinifera,Carposina,Carposinidae
6133344,Dichomeris linealis,Dichomeris,Gelechiidae
1847570,Isophrictis dietziella,Isophrictis,Gelechiidae
1842783,Asymphorodes canicoma,Asymphorodes,Cosmopterigidae
1848945,Prolita deoia,Prolita,Gelechiidae
1884793,Stegea sola,Stegea,Crambidae
1848503,Filatima bigella,Filatima,Gelechiidae
1825636,Rifargia culpata,Rifargia,Notodontidae
1852638,Holcocera augusti,Holcocera,Blastobasidae
1740171,Acleris venatana,Acleris,Tortricidae
1963949,Phyllodonta obscura,Phyllodonta,Geometridae
1806527,Holophaea gentilicia,Holophaea,Erebidae
1745061,Lopharcha psathyra,Lopharcha,Tortricidae
5127429,Stenia caclamalis,Stenia,Crambidae
1824370,Psilacron arthuri,Psilacron,Notodontidae
1838155,Gonionota incontigua,Gonionota,Depressariidae
1956117,Semaeopus tertullus,Semaeopus,Geometridae
1982993,Eupithecia anita,Eupithecia,Geometridae
11824771,Eucosma latens,Eucosma,Tortricidae
1987246,Hydata alada,Hydata,Geometridae
1850958,Chionodes aristella,Chionodes,Gelechiidae
1989834,Eois insueta,Eois,Geometridae
1826261,Dicentria manni,Dicentria,Notodontidae
1977957,Neofidonia signata,Neofidonia,Geometridae
1980870,Ectropis giatoma,Ectropis,Geometridae
1746455,Dorithia consacculana,Dorithia,Tortricidae
11921353,Lophaeola hora,Lophaeola,Gelechiidae
8773529,Asymphorodes nigricornis,Asymphorodes,Cosmopterigidae
1825604,Rifargia corda,Rifargia,Notodontidae
1833424,Metathrinca pernivis,Metathrinca,Xyloryctidae
1847998,Beltheca picolella,Beltheca,Gelechiidae
1880769,Trithyris auropurpuralis,Trithyris,Crambidae
1845536,Ethmia duckworthi,Ethmia,Ethmiidae
1739397,Cirrothaumatia tornosema,Cirrothaumatia,Tortricidae
1813346,Heliura cosmosomodes,Heliura,Erebidae
1976731,Oxydia insolita,Oxydia,Geometridae
1982342,Zacualpania tornitracta,Zacualpania,Geometridae
